insurance_name;insurance_address;insurance_inn;insurance_p;insurance_bik
Skyba;3335 Main Park;8257762;772919541;706903046
Dablist;12 Comanche Trail;5080932;803142048;265857651
Fanoodle;1 Dorton Plaza;3872812;451075338;677259062
Mita;6803 Carey Place;8721107;358585871;272072067
Wikibox;0048 Pine View Terrace;6815638;396544116;566817690
Cogilith;5870 Elgar Junction;7322897;618353563;659612225
Divape;5228 Kings Street;1845586;150646914;788687024
Skinte;750 Rigney Trail;7790338;458694830;547323858
Plajo;9343 Holmberg Center;3972450;892598954;935953360
Tagchat;8556 Cherokee Pass;3017385;999379284;941803585
Zooxo;8281 Glacier Hill Center;1953856;552362023;456640762
